"city","grade","group","pretest","posttest"
"Fresno",3,"Control",91.1,105.8
"Fresno",3,"Treatment",88.6,98.9
"Fresno",3,"Control",97.8,110.6
"Fresno",3,"Treatment",102.4,113.1
"Fresno",3,"Control",100.6,111.3
"Fresno",3,"Treatment",105,114.1
"Fresno",3,"Control",99.6,107.1
"Fresno",3,"Treatment",101.4,114
"Fresno",3,"Control",98.7,105.8
"Fresno",3,"Treatment",102.6,114
"Fresno",3,"Control",104,111
"Fresno",3,"Treatment",76.4,92.4
"Fresno",3,"Control",78,91.7
"Fresno",4,"Treatment",105.9,116.2
"Fresno",4,"Control",81.2,95.5
"Fresno",4,"Treatment",100.8,116.9
"Fresno",4,"Control",102.5,109.4
"Fresno",4,"Treatment",91.7,106.9
"Fresno",4,"Control",78.4,94
"Fresno",4,"Treatment",97.5,104.6
"Fresno",4,"Control",91.9,101
"Fresno",4,"Treatment",106.5,114.2
"Fresno",4,"Control",110.3,115.3
"Fresno",4,"Treatment",107.4,113.6
"Fresno",4,"Control",104.9,110.6
"Fresno",4,"Treatment",111.4,116.6
"Fresno",4,"Control",89.7,96
"Fresno",4,"Treatment",110,114.8
"Fresno",4,"Control",106.2,111.7
"Fresno",4,"Treatment",106.9,114.9
"Fresno",4,"Control",106.2,115.9
"Fresno",4,"Treatment",106.7,111
"Fresno",4,"Control",111.9,113.9
"Fresno",4,"Treatment",104.1,113.9
"Fresno",4,"Control",109.4,114.4
"Youngstown",1,"Treatment",12,60.6
"Youngstown",1,"Control",11.9,54.6
"Youngstown",1,"Treatment",12.3,55.5
"Youngstown",1,"Control",15.1,56.5
"Youngstown",1,"Treatment",17.2,84.8
"Youngstown",1,"Control",16.8,75.2
"Youngstown",1,"Treatment",14.6,84.9
"Youngstown",1,"Control",15.8,71.1
"Youngstown",1,"Treatment",18.9,101.9
"Youngstown",1,"Control",15.8,75.6
"Youngstown",1,"Treatment",15.3,70.6
"Youngstown",1,"Control",13.9,55.3
"Youngstown",1,"Treatment",16.6,78.4
"Youngstown",1,"Control",14.5,59.3
"Youngstown",1,"Treatment",16,84.2
"Youngstown",1,"Control",17,87
"Youngstown",1,"Treatment",20.1,108.6
"Youngstown",1,"Control",15.8,73.7
"Youngstown",1,"Treatment",16.4,76.6
"Youngstown",1,"Control",14.3,52.9
"Youngstown",2,"Treatment",80.3,101.9
"Youngstown",2,"Control",90,110.3
"Youngstown",2,"Treatment",76.6,100.1
"Youngstown",2,"Control",81.3,98.9
"Youngstown",2,"Treatment",70.1,91.7
"Youngstown",2,"Control",74.9,97.2
"Youngstown",2,"Treatment",60.9,92.5
"Youngstown",2,"Control",72,97.2
"Youngstown",2,"Treatment",72.3,94.4
"Youngstown",2,"Control",52.2,67.6
"Youngstown",2,"Treatment",78.6,101.3
"Youngstown",2,"Control",81.2,103.9
"Youngstown",2,"Treatment",77.4,102.2
"Youngstown",2,"Control",82,103.8
"Youngstown",2,"Treatment",71.8,100.6
"Youngstown",2,"Control",73.8,93.4
"Youngstown",2,"Treatment",93,113.8
"Youngstown",2,"Control",81.1,103.1
"Youngstown",2,"Treatment",97.7,114.3
"Youngstown",2,"Control",78.8,101.2
"Youngstown",2,"Treatment",65.7,87.9
"Youngstown",2,"Control",63.2,83.6
"Youngstown",2,"Treatment",80.4,105.6
"Youngstown",2,"Control",77.6,103
"Youngstown",2,"Treatment",75.6,102.5
"Youngstown",2,"Control",65.9,88.5
"Youngstown",2,"Treatment",68.4,93.6
"Youngstown",2,"Control",68.9,97.8
"Youngstown",2,"Treatment",83.3,109.2
"Youngstown",2,"Control",78.8,103.6
"Youngstown",2,"Treatment",93.7,111.2
"Youngstown",2,"Control",88.4,105.8
"Youngstown",2,"Treatment",87.3,106.4
"Youngstown",2,"Control",86.5,99.6
"Youngstown",2,"Treatment",95.2,110.6
"Youngstown",2,"Control",89.5,104.8
"Youngstown",2,"Treatment",80.4,112.1
"Youngstown",2,"Control",55.9,86
"Youngstown",2,"Treatment",85.4,113.3
"Youngstown",2,"Control",52.6,85.3
"Youngstown",3,"Treatment",98,111.1
"Youngstown",3,"Control",95.3,102.9
"Youngstown",3,"Treatment",83.3,98.9
"Youngstown",3,"Control",103.6,110.4
"Youngstown",3,"Treatment",100.8,112.2
"Youngstown",3,"Control",108.1,115.3
"Youngstown",3,"Treatment",103.8,114.5
"Youngstown",3,"Control",109.1,114.7
"Youngstown",3,"Treatment",100.7,110.3
"Youngstown",3,"Control",98.9,110.2
"Youngstown",3,"Treatment",97,103.7
"Youngstown",3,"Control",87.4,98.3
"Youngstown",3,"Treatment",97.3,110.8
"Youngstown",3,"Control",92.5,101.9
"Youngstown",3,"Treatment",94.5,108.9
"Youngstown",3,"Control",89,100.8
"Youngstown",3,"Treatment",97.7,109.6
"Youngstown",3,"Control",100.6,111.6
"Youngstown",3,"Treatment",93.9,107.2
"Youngstown",3,"Control",94,105.4
"Youngstown",4,"Treatment",109.7,115.6
"Youngstown",4,"Control",111.8,116.2
"Youngstown",4,"Treatment",110.6,116.2
"Youngstown",4,"Control",112.1,115.7
"Youngstown",4,"Treatment",115.2,119.6
"Youngstown",4,"Control",113.9,118
"Youngstown",4,"Treatment",101.9,109.6
"Youngstown",4,"Control",106.3,110.9
"Youngstown",4,"Treatment",119.8,122
"Youngstown",4,"Control",110.8,113.4
"Youngstown",4,"Treatment",108.8,109.7
"Youngstown",4,"Control",107.5,111.2
"Youngstown",4,"Treatment",104.6,112.4
"Youngstown",4,"Control",110,113.3
"Youngstown",4,"Treatment",111.1,115.5
"Youngstown",4,"Control",111.6,115.9
"Youngstown",4,"Treatment",115.5,119.7
"Youngstown",4,"Control",109.8,115.2
"Youngstown",4,"Treatment",107.2,111.5
"Youngstown",4,"Control",102.6,110
